respondent's year of birth,respondent's current age,age in 5-year groups,region,type of place of residence,source of drinking water,type of toilet facility,household has: electricity,household has: radio,household has: television,household has: bicycle,household has: motorcycle/scooter,household has: car/truck,main floor material,main wall material,main roof material,number of household members (listed),number of children 5 and under in household (de jure),educational attainment,relationship to household head,sex of household head,age of household head,literacy,type of cooking fuel,owns a mobile telephone,last 12 months use mobile telephone for financial transactions,is respondent's mobile phone a smart phone,has an account in a bank or other financial institution,use of internet,frequency of using internet last month,self reported health status,wealth index combined,years lived in place of residence,educational attainment head,frequency of listening to radio,frequency of watching television,age at first sex,husband/partner's occupation (grouped),respondent currently working,respondent's occupation (grouped),husband/partner's educational attainment,husband/partner's age,respondent worked in last 12 months,currently working,occupation (grouped),use mobile telephone for financial transactions,respondent education,how much paid in last month.1,income_group
1990.0,31.0,3,23,1,12,11,0,0,0,0,0,0,4,0,12,8.0,3.0,5,6,1,33.0,3,13,1,1,0,0,0,3,2,2,49,5,2,2,27.5,4,0,6,5,33.0,3,0,10,1,2,10000.0,1
1992.0,30.0,3,23,1,12,11,0,0,0,0,0,0,4,2,12,9.0,4.0,5,4,1,66.0,3,13,1,1,0,0,0,3,1,2,49,5,0,2,27.5,10,0,6,5,40.0,3,1,10,1,2,3000.0,0
1999.0,23.0,1,23,1,12,11,0,0,0,0,0,0,4,13,9,7.0,1.0,5,5,0,66.0,3,13,1,0,1,0,0,3,4,2,49,5,0,0,19.0,4,0,6,5,30.0,3,1,10,0,2,10000.0,1
1984.0,37.0,4,23,1,12,11,0,0,0,0,0,0,4,2,12,9.0,2.0,5,6,1,45.0,3,3,1,1,0,0,0,3,1,2,49,5,0,2,26.0,4,0,6,5,43.0,3,0,6,1,2,10000.0,1
1978.0,43.0,5,23,1,12,11,0,0,0,0,0,0,4,2,12,9.0,1.0,5,6,1,47.0,3,13,0,1,0,0,0,3,1,2,49,5,0,1,21.0,4,0,6,5,44.0,3,1,10,1,2,5000.0,0
1985.0,36.0,4,23,0,6,11,2,0,0,0,0,0,1,4,5,9.0,3.0,5,6,1,40.0,3,13,0,0,0,0,0,3,2,1,49,5,2,2,20.0,11,0,6,5,40.0,3,1,10,0,2,5000.0,0
1997.0,25.0,2,23,0,6,11,2,0,0,0,0,0,4,2,5,9.0,3.0,5,6,1,35.0,3,13,1,1,0,0,0,3,1,2,49,5,0,2,25.0,10,0,6,5,35.0,3,1,10,1,2,13000.0,1
1997.0,25.0,2,23,0,5,8,2,0,0,0,0,0,4,17,9,7.0,4.0,5,1,0,25.0,3,13,1,0,0,0,0,3,4,2,49,5,2,2,27.0,4,0,6,5,34.0,3,1,10,0,2,7000.0,0
2000.0,22.0,1,24,0,13,8,0,0,0,0,0,0,4,11,12,4.0,2.0,5,6,1,28.0,3,13,0,0,0,0,0,3,4,2,49,5,1,2,18.0,4,0,6,5,28.0,3,1,1,0,2,10000.0,1
1988.0,34.0,3,24,0,11,8,0,0,0,0,0,0,4,2,7,5.0,2.0,5,6,1,48.0,3,13,1,1,0,0,0,3,1,2,49,5,2,2,20.0,4,0,6,5,48.0,3,0,6,1,2,10000.0,1
2005.0,17.0,0,24,0,9,8,0,0,0,0,2,0,4,2,7,3.0,0.0,3,6,1,26.0,0,13,1,1,1,0,2,1,1,2,49,5,2,2,18.0,10,0,6,5,26.0,3,1,10,1,3,10000.0,1
1998.0,24.0,1,24,0,9,8,0,0,0,0,2,0,4,2,7,4.0,1.0,4,6,1,32.0,1,13,1,0,0,0,0,3,3,2,49,5,2,2,18.0,4,0,6,3,26.0,3,0,6,0,4,10000.0,1
1981.0,41.0,5,24,0,9,8,0,2,0,0,0,0,4,2,7,7.0,2.0,5,6,1,48.0,3,13,0,0,0,0,0,3,0,2,49,5,0,2,25.0,4,0,6,5,45.0,3,1,1,0,2,10000.0,1
1997.0,24.0,1,24,0,9,8,0,0,0,0,0,0,4,2,7,5.0,3.0,5,6,1,27.0,3,13,1,1,0,0,0,3,1,2,49,5,0,2,21.0,4,0,6,0,27.0,3,1,1,1,2,10000.0,1
1997.0,25.0,2,24,0,9,8,0,0,0,0,0,0,4,2,7,5.0,2.0,5,6,1,37.0,3,13,1,0,0,1,0,3,1,2,49,5,0,2,16.0,4,0,6,5,37.0,3,1,1,0,2,10000.0,1
2003.0,18.0,0,24,1,12,11,0,2,0,0,2,0,4,7,5,2.0,0.0,3,6,1,22.0,3,13,1,1,1,0,2,0,1,1,49,0,0,2,17.0,9,0,6,0,23.0,3,1,9,1,3,18000.0,1
1984.0,38.0,4,24,1,13,11,2,0,2,0,0,0,4,0,5,8.0,2.0,5,6,1,49.0,3,13,1,1,0,0,0,3,1,0,49,0,2,0,18.0,4,0,6,5,49.0,3,1,1,1,2,10000.0,1
1986.0,35.0,4,24,1,9,11,2,0,2,0,0,0,1,4,5,6.0,2.0,1,6,1,35.0,1,13,1,1,0,0,0,3,1,3,49,1,0,0,17.0,4,0,6,1,35.0,3,1,11,1,4,8000.0,0
1994.0,27.0,2,24,1,1,12,2,0,2,0,0,0,2,14,2,4.0,2.0,1,6,1,35.0,1,3,1,1,0,0,0,3,0,3,49,2,0,0,21.0,7,0,6,2,34.0,3,1,7,1,4,41000.0,4
1997.0,24.0,1,24,1,9,11,2,2,2,0,2,0,2,4,5,3.0,1.0,1,6,1,25.0,3,3,1,1,1,0,2,0,1,3,49,0,0,0,18.0,4,0,6,1,26.0,3,1,10,1,4,10000.0,1
1995.0,26.0,2,24,1,9,11,2,2,2,0,0,0,2,4,5,6.0,3.0,0,6,1,37.0,0,13,1,1,1,0,0,3,1,3,49,1,0,0,22.0,10,0,6,1,37.0,3,1,10,1,3,10000.0,1
1996.0,25.0,2,24,1,9,13,2,2,0,0,0,0,1,4,5,4.0,1.0,0,6,1,32.0,1,3,1,1,0,0,0,3,1,3,49,5,2,0,21.0,4,0,6,5,32.0,3,0,6,1,3,10000.0,1
1986.0,36.0,4,24,1,9,11,2,2,2,0,0,0,1,14,5,5.0,0.0,5,6,1,45.0,3,13,1,1,0,0,1,3,1,3,49,3,0,0,22.0,8,0,6,3,45.0,3,1,8,1,2,10000.0,1
2002.0,20.0,1,24,1,10,11,0,0,0,0,2,0,1,4,5,3.0,0.0,0,5,1,58.0,1,13,1,1,1,0,0,3,1,0,49,0,0,2,16.0,4,0,6,3,32.0,3,1,10,1,3,10000.0,1
1998.0,23.0,1,24,1,10,4,2,2,2,0,0,2,2,14,0,3.0,1.0,2,6,1,29.0,1,6,1,0,1,1,2,0,1,4,49,2,0,0,18.0,10,0,6,2,31.0,3,1,7,0,5,41000.0,4
1993.0,29.0,2,24,1,12,11,2,2,2,0,2,0,1,4,5,4.0,2.0,0,6,1,34.0,1,3,1,1,1,0,2,0,1,3,49,2,0,0,17.0,4,0,6,2,34.0,3,1,11,1,3,40000.0,4
1983.0,38.0,4,24,1,1,3,2,2,0,0,0,0,4,8,5,5.0,0.0,5,6,1,44.0,3,13,1,1,0,0,0,3,1,0,49,3,0,2,17.0,6,0,6,3,40.0,3,1,11,1,2,6000.0,0
1998.0,24.0,1,24,1,12,11,2,2,0,0,0,0,1,4,5,5.0,2.0,0,6,1,29.0,0,3,1,1,0,0,2,1,1,3,49,3,0,2,22.0,4,0,6,5,29.0,3,1,8,1,3,10000.0,1
1986.0,36.0,4,24,0,12,11,0,0,0,0,0,0,4,4,5,6.0,1.0,5,6,1,32.0,3,13,1,0,0,0,2,1,1,1,49,0,0,2,19.0,4,0,6,0,33.0,3,1,11,0,2,3000.0,0
2001.0,20.0,1,24,0,1,11,0,0,2,0,0,0,1,4,5,4.0,2.0,5,6,1,26.0,3,13,0,0,0,0,0,3,1,1,49,3,2,2,22.0,4,0,6,3,26.0,3,0,6,0,2,10000.0,1
1978.0,44.0,5,24,0,9,8,0,0,0,0,0,0,4,11,12,8.0,1.0,5,6,1,49.0,3,13,1,0,0,0,0,3,2,2,49,5,0,2,15.0,4,0,6,5,48.0,3,0,6,0,2,10000.0,1
1988.0,34.0,3,24,0,13,8,0,0,0,0,0,0,4,11,12,7.0,2.0,5,6,1,49.0,3,13,0,0,0,0,0,3,1,2,49,5,2,2,20.0,4,0,6,5,49.0,3,1,1,0,2,10000.0,1
1995.0,26.0,2,24,0,13,8,0,2,0,0,0,0,4,1,7,6.0,3.0,3,6,1,39.0,1,13,1,1,0,0,1,3,1,2,49,5,2,2,20.0,4,0,6,5,39.0,3,1,1,1,3,10000.0,1
1999.0,23.0,1,24,0,9,11,0,2,2,0,2,0,1,4,5,3.0,1.0,2,6,1,25.0,1,13,1,1,1,0,2,0,1,0,49,2,0,1,19.0,7,0,6,2,25.0,3,1,7,1,1,8000.0,0
1995.0,26.0,2,24,0,12,13,0,2,0,0,0,0,4,2,14,4.0,1.0,5,6,1,33.0,3,13,0,0,0,0,0,3,2,2,49,5,2,2,19.0,4,0,6,5,33.0,3,1,11,0,2,3700.0,0
1991.0,30.0,3,24,0,9,13,0,2,0,0,0,0,4,1,7,9.0,3.0,5,6,1,35.0,3,13,1,0,0,0,0,3,2,2,49,5,2,2,18.0,11,0,6,5,35.0,3,1,7,0,2,2500.0,0
1977.0,44.0,5,24,0,9,8,0,0,0,0,0,0,4,2,14,7.0,2.0,5,6,1,45.0,3,13,1,0,0,0,0,3,2,2,49,0,0,2,19.0,4,0,6,1,45.0,3,1,11,0,2,10000.0,1
1987.0,35.0,4,24,0,10,13,0,0,0,0,0,0,4,11,12,9.0,3.0,5,6,1,47.0,3,13,1,0,0,0,0,3,1,2,49,5,1,2,22.0,4,0,6,5,62.5,3,0,6,0,2,10000.0,1
1982.0,40.0,5,24,0,10,13,0,2,0,0,0,2,4,2,14,5.0,1.0,5,6,1,40.0,3,13,1,1,0,0,0,3,2,2,49,5,0,2,20.0,4,0,6,5,47.0,3,1,11,1,2,5000.0,0
1993.0,29.0,2,24,0,13,8,0,2,0,0,2,0,4,11,12,7.0,3.0,5,6,1,37.0,3,13,0,0,0,0,0,3,1,2,49,4,0,2,17.0,4,0,6,0,62.5,3,1,8,0,2,10000.0,1
1995.0,27.0,2,24,0,13,8,0,0,0,0,0,0,4,11,12,6.0,2.0,5,6,1,32.0,3,13,1,0,0,0,0,3,1,2,7,1,0,2,15.0,4,0,6,1,62.5,3,0,6,0,2,10000.0,1
2004.0,17.0,0,24,0,9,8,0,0,0,0,0,0,4,17,12,2.0,0.0,5,6,1,25.0,3,13,0,0,0,0,0,3,1,2,49,5,2,2,14.0,4,0,6,5,25.0,3,0,6,0,2,10000.0,1
1997.0,25.0,2,24,1,15,8,0,2,0,0,0,0,4,17,7,5.0,3.0,3,6,1,30.0,1,13,0,0,0,0,0,3,1,2,49,3,0,2,21.0,4,0,6,3,26.0,3,1,11,0,3,2000.0,0
1991.0,31.0,3,24,1,15,8,0,0,0,0,0,0,4,2,7,8.0,3.0,5,0,1,27.0,3,13,1,0,0,0,0,3,1,2,49,5,2,2,20.0,4,0,6,5,37.0,3,1,11,0,2,7000.0,0
2001.0,20.0,1,24,1,15,8,0,0,0,0,0,0,4,8,5,3.0,1.0,4,6,1,25.0,1,13,1,0,0,0,0,3,1,2,49,4,0,0,18.0,11,1,5,4,25.0,0,1,11,0,6,10000.0,1
1985.0,36.0,4,24,0,15,8,0,0,0,0,0,0,4,2,7,7.0,2.0,5,6,1,38.0,3,13,1,0,0,0,0,3,2,2,49,5,1,2,16.0,4,0,6,5,30.0,3,0,6,0,2,10000.0,1
1987.0,35.0,4,24,0,15,8,0,0,0,0,0,0,4,17,7,3.0,0.0,5,6,1,49.0,3,13,1,1,0,0,0,3,1,2,49,5,1,2,20.0,4,0,6,5,49.0,3,0,6,1,2,10000.0,1
2004.0,17.0,0,24,1,13,13,2,2,2,0,2,2,2,4,5,2.0,0.0,4,6,1,30.0,0,3,0,0,0,0,0,3,4,4,49,2,1,0,27.5,7,0,6,2,29.0,3,1,8,0,6,41000.0,4
1996.0,25.0,2,24,1,1,11,2,0,2,0,0,0,2,4,5,7.0,2.0,5,1,0,26.0,3,13,1,1,1,1,0,3,1,3,50,1,2,2,27.5,4,0,6,1,28.0,3,1,8,1,2,30000.0,3
2003.0,19.0,0,24,1,1,11,2,2,0,0,0,0,1,4,5,4.0,2.0,3,6,1,29.0,0,3,1,0,0,0,0,3,1,3,49,0,0,1,27.5,10,0,6,0,26.0,3,1,11,0,3,30000.0,3
1990.0,31.0,3,24,0,13,13,0,0,0,0,0,0,1,4,5,8.0,1.0,5,6,1,42.0,3,13,0,0,0,0,0,3,1,2,49,1,0,2,25.0,7,0,6,1,45.0,3,0,6,0,2,10000.0,1
1994.0,27.0,2,24,0,9,11,0,0,0,0,0,0,4,0,12,6.0,2.0,5,6,1,33.0,1,13,0,0,0,0,0,3,1,2,49,1,0,2,20.0,4,0,6,1,33.0,3,1,4,0,2,1000.0,0
1994.0,28.0,2,24,0,8,11,0,0,0,0,0,0,4,7,12,6.0,1.0,0,6,1,30.0,0,13,0,0,0,0,0,3,1,2,49,5,2,2,21.0,4,0,6,5,30.0,3,0,6,0,3,10000.0,1
1997.0,25.0,2,24,0,13,11,0,0,0,2,2,0,1,14,5,4.0,2.0,3,6,1,29.0,0,13,1,0,1,0,2,1,1,1,49,2,0,2,17.0,7,0,6,2,28.0,3,1,7,0,3,30000.0,3
1989.0,33.0,3,24,1,1,11,0,2,0,0,0,0,1,8,5,6.0,2.0,3,6,1,46.0,3,13,1,0,0,0,0,3,0,1,49,5,0,2,16.0,4,0,6,5,46.0,3,1,11,0,3,5000.0,0
1988.0,33.0,3,24,1,1,13,0,0,0,0,0,0,1,5,9,6.0,3.0,5,1,0,33.0,3,13,1,0,0,0,0,3,1,1,49,5,0,0,27.5,7,0,6,5,35.0,3,1,9,0,2,15000.0,1
1989.0,32.0,3,24,1,1,13,2,0,2,0,0,0,1,14,1,9.0,3.0,5,6,1,35.0,3,3,1,0,0,0,0,3,2,3,49,3,1,0,26.0,4,0,7,3,35.0,2,0,6,0,2,10000.0,1
1992.0,29.0,2,24,0,11,11,2,0,0,0,0,0,1,4,5,9.0,3.0,0,6,1,35.0,3,13,1,1,0,0,0,3,1,0,49,0,2,2,21.0,11,0,6,0,36.0,3,1,11,1,3,9000.0,0
1996.0,25.0,2,24,0,13,11,2,2,0,0,0,0,1,4,5,6.0,3.0,5,6,1,31.0,0,13,0,0,0,0,0,3,1,0,49,3,0,2,17.0,4,0,6,3,27.0,3,1,10,0,2,10000.0,1
1994.0,27.0,2,24,0,13,12,2,0,2,0,0,0,2,14,2,5.0,1.0,1,6,1,29.0,1,3,1,0,1,1,0,3,2,3,49,3,2,0,22.0,10,0,5,0,29.0,2,1,10,0,4,41000.0,4
1998.0,24.0,1,24,0,11,11,2,0,0,0,0,0,1,4,5,5.0,3.0,5,6,1,31.0,3,13,1,1,0,0,0,3,2,1,49,0,2,2,24.0,11,0,6,5,31.0,3,1,11,1,2,10000.0,1
2001.0,20.0,1,24,1,10,11,2,2,2,0,0,0,1,4,5,6.0,3.0,5,6,1,44.0,3,13,1,0,0,0,0,3,2,3,49,0,1,1,27.5,4,0,6,5,30.0,3,1,11,0,2,10000.0,1
1988.0,33.0,3,24,1,10,11,2,2,2,0,0,0,2,4,9,3.0,1.0,2,6,1,33.0,1,13,1,0,0,0,0,3,1,0,49,0,2,1,27.5,8,0,6,0,33.0,3,1,8,0,5,10000.0,1
1995.0,27.0,2,24,1,13,12,2,2,2,0,0,0,1,14,5,4.0,2.0,3,6,1,26.0,0,3,1,0,0,1,0,3,1,3,49,0,0,0,21.0,11,0,6,0,26.0,3,1,10,0,3,10000.0,1
1987.0,34.0,3,24,1,10,11,2,2,2,2,0,0,1,4,5,8.0,1.0,0,6,1,42.0,3,13,1,1,1,0,2,0,1,3,49,3,2,0,27.0,7,0,6,3,42.0,3,1,7,1,3,10000.0,1
1994.0,27.0,2,24,1,12,11,0,2,2,0,0,0,1,4,5,5.0,3.0,0,6,1,31.0,0,3,1,1,1,0,2,1,1,3,49,2,0,0,26.0,7,0,6,2,32.0,3,1,7,1,3,41000.0,4
1977.0,45.0,6,24,1,1,11,2,0,0,0,0,0,1,14,5,9.0,3.0,5,6,1,41.0,3,13,0,0,0,0,0,3,1,1,13,5,2,2,27.5,8,0,6,5,41.0,3,1,11,0,2,6000.0,0
2001.0,21.0,1,24,1,13,11,2,2,2,0,0,0,1,4,5,4.0,1.0,4,6,1,25.0,0,3,1,1,0,0,0,3,1,3,49,1,0,2,19.0,7,0,6,1,25.0,3,1,4,1,4,12000.0,1
1997.0,24.0,1,24,1,1,12,2,2,2,0,0,2,1,4,5,4.0,2.0,1,6,1,27.0,0,6,1,1,1,1,2,0,1,4,49,1,2,0,17.0,7,0,6,1,26.0,3,1,8,1,4,10000.0,1
1997.0,25.0,2,24,1,13,11,2,2,2,0,0,0,1,4,5,4.0,2.0,2,6,1,27.0,1,13,1,1,1,1,2,0,1,3,49,1,2,0,19.0,7,1,7,2,25.0,0,1,8,1,1,10000.0,1
1992.0,30.0,3,24,0,13,12,2,0,0,0,0,0,4,7,5,7.0,2.0,3,6,1,40.0,3,13,0,0,0,0,0,3,1,2,15,5,0,2,15.0,4,0,6,5,40.0,3,0,11,0,3,5000.0,0
1996.0,25.0,2,24,0,11,11,2,0,0,0,0,0,4,0,12,6.0,3.0,5,6,1,25.0,3,13,1,1,0,0,0,3,1,2,48,2,2,2,22.0,4,0,6,1,25.0,3,0,7,1,2,25000.0,2
1997.0,25.0,2,24,0,13,8,0,0,0,0,0,0,4,7,5,6.0,3.0,3,6,1,30.0,0,13,1,0,0,0,0,3,2,2,43,5,1,2,18.0,4,0,6,3,30.0,3,1,11,0,3,10000.0,1
1991.0,30.0,3,24,0,11,12,2,0,0,0,0,0,1,4,5,8.0,2.0,5,6,1,37.0,3,13,1,0,0,0,0,3,2,1,49,5,1,2,19.0,4,0,6,5,45.0,3,0,11,0,2,10000.0,1
1996.0,25.0,2,24,0,11,8,0,0,0,0,0,0,1,4,5,5.0,3.0,5,6,1,31.0,3,13,1,1,1,0,0,3,1,1,49,2,2,2,20.0,7,0,6,1,33.0,3,1,7,1,2,20000.0,2
1990.0,32.0,3,24,0,9,8,0,0,0,0,0,0,4,11,12,4.0,2.0,5,6,1,36.0,3,13,1,1,0,0,0,3,1,2,49,5,2,2,24.0,4,0,6,5,36.0,3,1,1,1,2,10000.0,1
1985.0,37.0,4,24,0,10,8,0,0,0,0,0,0,4,11,12,4.0,2.0,5,6,1,53.0,3,13,1,1,0,0,0,3,1,2,49,5,2,2,27.5,4,0,6,5,53.0,3,0,6,1,2,10000.0,1
1978.0,44.0,5,24,0,6,11,2,0,0,0,0,0,4,0,5,6.0,0.0,0,6,1,47.0,1,13,1,1,0,0,0,3,1,1,49,0,0,2,21.0,4,0,6,3,49.0,3,1,11,1,3,8000.0,0
2000.0,21.0,1,24,0,8,11,0,0,0,0,0,0,4,11,12,3.0,1.0,5,6,1,36.0,3,13,0,0,0,0,0,3,1,2,49,5,2,2,17.0,4,0,6,5,36.0,3,1,1,0,2,10000.0,1
1986.0,35.0,4,24,0,9,13,0,0,0,0,0,0,4,11,12,5.0,1.0,5,6,1,48.0,3,13,1,1,0,0,0,3,2,2,49,0,0,0,19.0,7,0,6,1,49.0,3,1,11,1,2,2500.0,0
1990.0,31.0,3,24,0,13,13,0,2,0,0,0,0,4,0,5,7.0,2.0,5,6,1,36.0,3,13,1,1,0,0,0,3,1,2,49,5,2,2,27.5,4,0,6,5,36.0,3,0,6,1,2,10000.0,1
2001.0,20.0,1,24,0,13,13,0,0,0,0,0,0,4,17,7,4.0,2.0,3,6,1,28.0,1,13,1,1,0,0,0,3,1,2,49,0,0,0,20.0,7,1,7,0,28.0,0,1,7,1,3,7000.0,0
1988.0,33.0,3,24,0,13,8,0,0,0,0,0,0,4,11,12,4.0,1.0,5,6,1,40.0,3,13,1,1,0,0,0,3,2,2,49,5,1,2,24.0,4,0,6,5,40.0,3,0,6,1,2,10000.0,1
1995.0,27.0,2,24,0,13,8,0,0,0,0,0,0,4,2,14,4.0,2.0,5,6,1,30.0,3,13,1,0,0,0,0,3,2,2,49,5,2,2,22.0,4,0,6,5,30.0,3,1,1,0,2,10000.0,1
1986.0,36.0,4,24,0,13,8,0,0,0,0,0,0,4,11,12,6.0,1.0,5,6,1,46.0,3,13,1,1,0,0,0,3,2,2,49,5,2,2,20.0,4,0,6,5,46.0,3,0,6,1,2,10000.0,1
1997.0,24.0,1,24,0,13,8,0,0,0,0,0,0,4,17,7,4.0,2.0,5,6,1,41.0,3,13,1,1,0,0,0,3,2,2,49,5,0,2,26.0,4,0,6,5,41.0,3,1,1,1,2,10000.0,1
1976.0,45.0,6,24,0,13,8,0,0,0,0,0,0,4,11,12,7.0,1.0,5,6,1,46.0,3,13,1,0,0,0,0,3,2,2,49,5,2,2,26.0,4,0,6,5,46.0,3,1,1,0,2,10000.0,1
1999.0,22.0,1,24,0,13,8,0,2,0,0,0,0,4,11,12,4.0,2.0,5,6,1,36.0,3,13,0,0,0,0,0,3,1,2,49,5,0,2,22.0,4,0,6,5,36.0,3,1,1,0,2,10000.0,1
1990.0,32.0,3,24,0,13,8,0,0,0,0,0,0,4,11,12,4.0,1.0,5,6,1,46.0,3,13,1,0,0,0,0,3,1,2,49,5,2,2,27.5,4,0,6,5,46.0,3,1,1,0,2,10000.0,1
1986.0,35.0,4,24,0,11,11,0,0,0,0,0,0,1,4,5,8.0,1.0,5,6,1,42.0,3,13,1,1,0,0,0,3,1,1,49,0,0,2,24.0,4,0,6,0,43.0,3,1,8,1,2,10000.0,1
2003.0,18.0,0,24,0,11,11,0,0,0,0,0,0,1,4,5,6.0,0.0,4,5,0,65.0,1,13,1,0,0,0,0,3,1,2,49,3,2,2,20.0,4,0,6,3,20.0,3,0,6,0,4,10000.0,1
2003.0,19.0,0,24,1,11,12,0,0,0,0,0,0,1,4,5,3.0,1.0,5,6,1,43.0,3,13,0,0,0,0,0,3,1,2,49,0,0,1,27.5,4,0,6,0,42.0,3,0,6,0,2,10000.0,1
1998.0,24.0,1,24,1,13,11,0,2,0,0,0,0,1,14,5,5.0,2.0,0,6,1,33.0,0,13,1,0,0,0,0,3,1,1,49,1,0,2,20.0,10,0,6,1,33.0,3,1,8,0,3,10000.0,1
1982.0,40.0,5,24,1,11,11,2,2,2,0,2,0,1,4,5,7.0,1.0,5,6,1,47.0,3,13,1,1,0,0,0,3,1,3,49,1,0,0,27.5,7,1,7,1,45.0,0,1,7,1,2,40000.0,4
1994.0,27.0,2,24,1,1,11,2,2,2,0,0,0,1,4,5,4.0,2.0,2,6,1,33.0,1,3,1,1,1,1,2,0,1,3,49,1,0,0,17.0,4,0,6,1,33.0,3,1,8,1,1,10000.0,1
1987.0,34.0,3,24,0,11,8,0,0,0,0,0,0,4,2,12,9.0,2.0,5,6,1,50.0,3,13,1,1,0,0,0,3,2,2,49,5,2,2,20.0,1,0,6,5,50.0,3,1,1,1,2,10000.0,1
1997.0,25.0,2,24,0,13,12,0,0,0,0,2,0,4,2,12,4.0,1.0,5,6,1,25.0,3,13,1,1,1,0,0,3,1,2,12,2,2,2,20.0,4,0,6,2,25.0,3,1,7,1,2,10000.0,1
1994.0,28.0,2,24,0,11,8,0,0,0,0,0,0,4,2,12,6.0,2.0,5,6,1,30.0,3,13,1,1,0,0,0,3,1,2,49,5,0,2,26.0,4,0,6,5,30.0,3,1,1,1,2,10000.0,1
1991.0,30.0,3,8,0,5,8,0,2,0,0,0,0,4,0,5,6.0,2.0,5,6,1,39.0,3,13,1,0,0,0,0,3,1,2,49,5,2,2,16.0,1,0,6,5,39.0,3,1,1,0,2,7000.0,0
2001.0,20.0,1,8,0,5,8,0,0,0,0,0,0,4,0,5,3.0,1.0,0,6,1,26.0,1,13,0,0,0,0,0,3,1,2,49,4,0,1,17.0,1,0,6,4,25.0,3,1,10,0,3,15000.0,1
2002.0,20.0,1,8,0,5,11,0,0,0,0,2,0,4,0,5,3.0,1.0,0,6,1,30.0,1,13,0,1,0,1,0,3,1,2,49,1,1,2,15.0,10,1,7,1,30.0,1,1,10,1,3,17000.0,1
1992.0,30.0,3,8,0,15,11,0,2,0,0,0,0,4,0,5,7.0,3.0,3,6,1,32.0,0,13,1,1,0,0,0,3,2,2,49,3,0,1,18.0,11,0,6,3,32.0,3,1,1,1,3,10000.0,1
1989.0,32.0,3,8,0,5,10,0,0,0,0,2,0,4,0,5,9.0,3.0,5,6,1,33.0,3,13,1,0,0,0,0,3,1,2,49,3,1,2,16.0,4,0,6,3,35.0,3,1,1,0,2,10000.0,1
1983.0,39.0,4,8,0,15,11,0,0,0,0,0,0,4,0,5,6.0,0.0,0,6,1,44.0,1,13,1,1,0,0,0,3,2,2,49,5,2,2,23.0,4,0,6,5,44.0,3,1,1,1,3,10000.0,1
1986.0,35.0,4,8,0,11,11,0,0,0,0,0,0,4,0,5,9.0,2.0,5,6,1,40.0,3,13,1,0,0,0,0,3,1,2,49,5,1,2,16.0,4,0,6,5,35.0,3,1,1,0,2,10000.0,1
1982.0,39.0,4,8,1,6,13,0,2,0,0,0,0,1,5,5,4.0,0.0,1,6,1,50.0,1,3,1,1,1,0,2,2,2,0,47,1,0,0,19.0,7,0,6,1,50.0,3,1,4,1,4,4500.0,0
1990.0,32.0,3,8,1,6,11,2,0,0,0,0,0,1,5,5,7.0,2.0,0,6,1,45.0,0,3,1,1,0,1,0,3,1,0,47,4,0,0,17.0,4,1,8,3,45.0,0,1,8,1,3,21000.0,2
1989.0,32.0,3,8,1,6,11,2,2,2,2,0,0,1,4,5,4.0,2.0,2,6,1,32.0,1,6,1,1,1,0,2,0,2,3,0,2,0,0,16.0,4,1,7,2,30.0,0,1,8,1,1,32000.0,3
1997.0,24.0,1,8,1,6,11,0,2,0,0,0,0,4,4,5,9.0,3.0,5,6,1,32.0,3,13,1,1,0,0,0,3,1,1,3,0,0,1,15.0,4,0,6,1,27.0,3,1,9,1,2,15000.0,1
1986.0,35.0,4,8,1,5,13,0,0,0,0,0,0,4,0,5,6.0,1.0,3,6,1,37.0,0,13,1,0,0,0,0,3,1,1,46,0,0,1,17.0,4,0,6,0,37.0,3,1,1,0,3,8900.0,0
1996.0,25.0,2,8,1,5,11,0,0,0,0,0,0,1,0,5,7.0,2.0,5,6,1,27.0,0,13,1,1,0,0,0,3,1,1,23,0,1,2,17.0,10,1,11,0,27.0,0,1,11,1,2,5000.0,0
1986.0,35.0,4,8,0,9,8,0,0,0,0,0,0,4,0,5,7.0,1.0,5,6,1,32.0,3,13,1,1,0,0,0,3,1,2,46,5,0,2,15.0,11,0,6,5,32.0,3,1,5,1,2,15000.0,1
1993.0,29.0,2,8,0,6,8,0,0,0,0,0,0,4,0,5,5.0,2.0,5,6,1,32.0,3,13,1,1,0,0,0,3,2,2,7,5,1,2,18.0,1,0,6,5,32.0,3,1,1,1,2,3000.0,0
1988.0,33.0,3,8,0,5,8,0,0,0,0,0,0,4,0,5,9.0,3.0,5,6,1,43.0,3,13,1,0,0,0,0,3,1,2,8,0,0,1,18.0,1,0,6,0,35.0,3,1,1,0,2,5000.0,0
1986.0,35.0,4,8,1,0,11,2,2,2,0,0,2,2,1,5,2.0,0.0,1,6,1,35.0,1,3,1,1,1,0,2,0,1,4,47,1,0,0,16.0,10,0,6,1,35.0,3,1,8,1,4,30000.0,3
1993.0,28.0,2,8,1,6,11,2,0,2,0,2,0,2,1,5,7.0,2.0,1,6,1,40.0,0,3,1,1,1,1,1,3,1,3,49,1,2,0,14.0,10,0,6,1,40.0,3,1,8,1,4,41000.0,4
1998.0,23.0,1,8,1,13,13,2,2,0,0,0,0,4,0,5,3.0,1.0,0,6,1,25.0,1,13,0,1,0,0,0,3,1,0,49,4,0,0,20.0,11,0,6,4,25.0,3,1,1,1,3,7000.0,0
